id,car_id,cruiseCtrl,frFloorMats,heatMirrors,powerDrMirror,powerDrSeat,powerPasSeat,rearPassThru,powerSteering,adjSteerWheel,powerWindows,intWipers,stWheelCtrls,autoOffHdlight,autoDimRMirror,drVanityMirror,psVanityMirror,illumDriverVM,illumPassVM,mirrorMemory,parkAssist,seatMemory,rmTrunkOpen,uniGarageDoor,rmEngineStart,keylessStart,navSystem,varSpIntWipers,rainSenseWprs,wheelLocks
1,29678491,std,std,std,opt,std,n/a,opt,std,std,n/a,std,std,std,n/a,std,std,std,opt,std,std,std,opt,opt,std,opt,std,std,opt,std
2,27282305,std,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,n/a,std,n/a,std,n/a,std,opt,std,std,n/a,std,std,n/a,n/a
3,26619838,std,std,n/a,std,n/a,std,n/a,std,std,n/a,opt,std,std,std,opt,std,n/a,std,opt,std,n/a,std,opt,opt,n/a,std,n/a,std,std
4,25957371,n/a,opt,std,std,std,std,std,n/a,std,std,std,std,opt,std,std,std,std,std,std,std,std,std,opt,std,std,n/a,std,opt,std
5,25294904,std,std,opt,std,n/a,n/a,std,opt,opt,n/a,opt,opt,std,std,std,std,std,std,std,std,std,opt,std,opt,std,std,opt,std,opt
6,24632436,std,opt,opt,std,std,std,std,opt,opt,std,std,std,opt,std,std,opt,opt,std,std,opt,opt,std,opt,opt,std,std,std,opt,opt
7,23969969,std,std,n/a,std,std,std,n/a,std,n/a,std,std,std,std,std,opt,std,n/a,opt,std,opt,std,opt,n/a,std,n/a,std,opt,n/a,std
8,23307502,std,std,std,n/a,opt,std,std,std,std,n/a,opt,std,std,opt,std,std,opt,std,opt,std,std,opt,std,std,std,n/a,opt,std,std
9,22535611,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,n/a,std,n/a,std,std,n/a,std
10,18551187,std,opt,n/a,opt,n/a,opt,n/a,opt,n/a,opt,n/a,opt,opt,n/a,opt,opt,std,std,n/a,opt,opt,std,opt,std,std,n/a,std,opt,std
11,18483654,std,std,std,n/a,std,std,std,std,std,n/a,std,std,n/a,std,std,std,opt,std,std,std,std,opt,std,std,std,n/a,opt,std,std
12,18416122,std,std,std,std,std,std,opt,std,std,std,std,std,std,std,opt,opt,opt,std,std,opt,opt,opt,std,n/a,opt,n/a,opt,std,n/a
13,18348589,std,std,std,n/a,opt,std,std,std,std,n/a,opt,std,std,std,std,n/a,std,n/a,std,std,std,n/a,std,std,std,std,n/a,std,std
14,18281057,std,n/a,std,std,std,std,std,n/a,std,std,std,std,n/a,std,std,std,std,std,n/a,std,std,std,n/a,opt,n/a,std,std,n/a,opt
15,18213524,std,opt,opt,n/a,opt,opt,n/a,opt,opt,n/a,opt,opt,std,opt,std,n/a,std,n/a,std,opt,std,n/a,opt,n/a,std,std,n/a,opt,n/a
16,18145991,std,std,std,std,n/a,std,std,std,std,std,n/a,std,n/a,std,std,opt,std,std,n/a,std,std,opt,std,std,std,n/a,opt,std,std
17,18078459,std,opt,std,std,opt,std,opt,opt,std,std,opt,std,n/a,opt,std,std,std,std,n/a,opt,std,std,n/a,n/a,opt,opt,std,n/a,n/a
18,18010926,std,std,std,std,n/a,n/a,std,std,std,std,n/a,n/a,n/a,std,std,std,n/a,opt,n/a,std,std,std,std,std,std,std,std,std,std
19,17943394,std,std,opt,n/a,std,std,opt,n/a,n/a,n/a,std,std,std,std,opt,std,std,std,std,std,opt,std,std,n/a,opt,opt,std,std,n/a
20,17875861,n/a,std,opt,std,opt,std,opt,std,std,opt,std,opt,std,std,std,n/a,opt,n/a,std,std,std,n/a,opt,std,n/a,std,n/a,opt,std
21,17808328,std,std,std,opt,std,std,std,opt,n/a,std,opt,std,std,std,std,opt,n/a,std,std,std,std,opt,opt,opt,n/a,opt,opt,opt,opt
22,22468078,std,opt,opt,std,n/a,opt,opt,std,n/a,std,std,std,n/a,std,std,std,std,std,n/a,std,std,std,std,n/a,std,std,std,std,n/a
23,22400545,std,std,std,std,std,std,std,std,std,std,n/a,std,opt,opt,n/a,n/a,n/a,opt,opt,opt,n/a,n/a,std,std,std,opt,n/a,std,std
24,22333013,std,std,std,std,std,std,std,std,std,opt,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std
25,22265480,std,std,opt,opt,std,std,opt,opt,std,std,std,std,opt,opt,std,std,n/a,opt,opt,opt,std,std,std,std,std,n/a,std,n/a,std
26,22197948,std,std,std,std,std,std,std,std,std,std,std,std,std,opt,opt,opt,std,n/a,std,opt,opt,std,n/a,opt,std,std,std,std,std
27,22130415,std,std,std,opt,std,std,std,opt,std,std,opt,opt,std,opt,n/a,opt,opt,n/a,opt,opt,std,opt,std,std,std,std,std,std,std
28,22062882,std,std,opt,std,std,std,opt,std,std,opt,std,n/a,opt,n/a,std,std,n/a,std,std,std,opt,std,opt,n/a,opt,n/a,opt,n/a,opt
29,21995350,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,std,std,std,std,opt,opt,opt,opt,n/a,std,std,std,std,std,std
30,21927817,std,std,opt,std,opt,std,opt,std,std,opt,std,opt,opt,n/a,opt,std,std,std,std,n/a,std,std,std,std,std,opt,std,std,std
31,21860285,std,std,std,opt,std,std,std,opt,n/a,std,opt,std,std,std,std,std,n/a,std,std,std,std,std,n/a,opt,std,std,std,std,std
32,21792752,n/a,std,std,n/a,n/a,std,std,n/a,std,std,n/a,opt,std,n/a,opt,opt,std,opt,std,opt,std,opt,std,std,std,std,n/a,std,std
33,20509632,std,std,std,std,n/a,std,std,std,std,std,std,opt,std,std,n/a,std,n/a,std,n/a,std,n/a,n/a,n/a,opt,opt,n/a,opt,opt,opt
34,20442100,std,opt,std,std,std,opt,std,std,std,std,n/a,std,n/a,std,opt,std,n/a,opt,std,std,std,n/a,std,n/a,std,std,std,std,std
35,20374567,std,std,n/a,n/a,std,std,n/a,n/a,std,std,std,std,std,std,n/a,n/a,n/a,std,std,std,n/a,n/a,std,opt,std,opt,opt,std,std
36,20307035,std,std,opt,std,std,std,opt,std,opt,std,n/a,std,n/a,n/a,std,std,std,std,opt,std,std,std,std,n/a,n/a,std,std,std,n/a
37,20239502,std,std,std,n/a,std,std,std,n/a,std,std,opt,std,std,std,std,n/a,std,std,std,n/a,opt,std,n/a,std,std,opt,n/a,n/a,std
38,20171969,std,std,std,n/a,std,std,std,n/a,opt,std,std,std,std,std,std,opt,std,std,std,opt,n/a,std,std,opt,std,opt,std,std,std
39,20104437,std,std,opt,std,std,std,std,n/a,std,std,std,n/a,opt,std,std,std,n/a,std,std,std,std,n/a,opt,std,std,std,opt,n/a,std
40,20036904,std,std,std,opt,opt,std,std,std,std,opt,std,std,std,opt,n/a,n/a,opt,opt,n/a,n/a,n/a,opt,std,n/a,opt,opt,std,n/a,opt
41,19969372,std,std,opt,std,std,std,std,std,std,std,n/a,opt,n/a,opt,std,std,n/a,opt,std,std,std,n/a,std,std,std,std,std,std,std
42,19901839,std,std,std,std,std,std,std,std,std,std,opt,n/a,std,std,std,std,n/a,std,std,std,n/a,n/a,std,std,std,std,std,std,std
43,19834306,std,std,std,std,n/a,std,n/a,n/a,std,std,std,std,std,std,opt,std,std,std,opt,std,std,std,opt,std,std,opt,opt,std,std
44,19766774,std,std,std,n/a,std,std,std,n/a,opt,std,n/a,opt,std,std,std,n/a,std,std,std,n/a,opt,std,std,std,std,std,std,std,std
45,19699241,std,opt,std,std,std,std,std,n/a,std,std,n/a,std,std,std,std,opt,std,std,std,opt,n/a,std,opt,std,std,std,opt,std,std
46,19631709,std,std,std,opt,opt,std,std,std,std,opt,std,std,opt,std,std,std,n/a,std,std,std,std,n/a,std,std,std,opt,std,std,std
