id,car_id,amFmStereo,premSound,satRadio,mp3Player,auxAudioInput
1,17605731,std,opt,opt,n/a,std
2,17673263,std,opt,opt,opt,std
3,17740796,std,opt,std,n/a,std
4,17808328,std,n/a,std,std,std
5,17875861,std,std,opt,n/a,std
6,17943394,n/a,n/a,n/a,n/a,n/a
7,18010926,std,std,std,opt,std
8,18078459,std,n/a,n/a,n/a,opt
9,18145991,std,std,opt,opt,std
10,18213524,std,std,opt,n/a,std
11,18281057,std,n/a,n/a,n/a,std
12,18348589,std,n/a,std,n/a,std
13,18416122,std,opt,n/a,opt,std
14,18483654,std,opt,n/a,n/a,std
15,18551187,std,opt,std,std,std
16,19496643,std,std,opt,n/a,std
17,19564176,std,n/a,opt,opt,n/a
18,18618720,std,std,opt,opt,opt
19,18686252,std,n/a,n/a,n/a,std
20,18753785,std,n/a,std,opt,std
21,18821317,std,std,n/a,n/a,std
22,18888850,n/a,n/a,n/a,n/a,n/a
23,18956383,std,opt,n/a,n/a,std
24,19023915,std,opt,std,opt,std
25,19091448,std,opt,std,n/a,std
26,19158980,std,opt,n/a,std,std
27,19226513,std,opt,n/a,n/a,std
28,19294046,std,std,opt,opt,std
29,19361578,std,opt,opt,opt,std
30,19429111,std,opt,opt,n/a,opt
31,19766774,std,opt,opt,opt,n/a
32,19834306,std,n/a,n/a,n/a,n/a
33,19901839,std,opt,std,n/a,opt
34,19969372,std,opt,n/a,n/a,opt
35,20036904,std,opt,std,opt,std
36,20104437,std,std,n/a,n/a,n/a
37,20171969,std,opt,std,std,std
38,20239502,std,opt,std,n/a,std
39,20307035,std,n/a,n/a,opt,opt
40,20374567,std,n/a,n/a,opt,std
41,20442100,std,opt,opt,n/a,std
42,20509632,std,opt,opt,opt,std
43,12689301,std,opt,n/a,n/a,std
44,13029678,std,opt,n/a,n/a,std
45,19631709,std,n/a,opt,n/a,std
46,19699241,std,opt,opt,opt,std
47,20577165,std,opt,n/a,n/a,std
48,20644698,n/a,n/a,n/a,n/a,n/a
49,20712230,std,std,n/a,n/a,std
50,20779763,std,n/a,opt,opt,std
51,20847295,std,opt,n/a,opt,opt
52,20914828,std,opt,std,n/a,std
53,20982361,std,opt,n/a,opt,std
54,21049893,std,std,opt,n/a,opt
55,21117426,std,n/a,n/a,n/a,std
56,21184958,std,opt,std,n/a,std
57,21252491,std,std,std,opt,std
58,21320024,std,opt,n/a,n/a,n/a
59,21387556,std,opt,n/a,std,n/a
60,21455089,std,n/a,opt,n/a,std
61,21522621,n/a,n/a,n/a,n/a,n/a
62,21590154,std,opt,n/a,opt,std
63,21657687,std,n/a,n/a,n/a,std
64,21725219,std,opt,std,opt,std
65,19460395,std,n/a,n/a,n/a,std
66,21792752,std,opt,std,n/a,std
67,21860285,std,opt,n/a,n/a,opt
68,21927817,std,opt,std,opt,std
69,21995350,std,std,std,n/a,opt
70,22062882,std,n/a,n/a,std,n/a
71,22130415,std,opt,n/a,n/a,std
72,22197948,std,opt,opt,opt,std
73,22265480,std,opt,n/a,opt,std
74,22333013,std,opt,n/a,n/a,std
75,22400545,std,opt,std,opt,std
76,22468078,std,opt,n/a,n/a,std
77,22535611,std,opt,std,n/a,std
78,25294904,std,std,n/a,n/a,std
79,25957371,std,n/a,opt,opt,std
80,26524596,std,opt,std,n/a,opt
81,26619838,std,opt,n/a,std,std
82,27282305,std,opt,n/a,n/a,std
83,27944772,std,std,std,opt,std
84,28607240,std,n/a,std,opt,std
85,29269707,std,std,std,n/a,n/a
86,29678491,std,n/a,std,opt,std
87,29932174,n/a,n/a,n/a,n/a,n/a
88,10946793,std,opt,opt,n/a,std
89,12068002,std,opt,n/a,n/a,opt
90,14539816,std,opt,n/a,opt,std
91,18479342,std,n/a,opt,n/a,std
92,19995166,std,opt,n/a,std,std
93,20657633,std,opt,std,n/a,std
94,21320100,std,opt,n/a,opt,n/a
95,21982568,std,std,std,opt,n/a
96,22645035,std,std,std,n/a,opt
97,23307502,std,n/a,n/a,opt,std
98,23969969,std,n/a,n/a,n/a,std
99,24632436,std,opt,n/a,n/a,std
100,29390043,std,std,opt,std,std
